question,answer
"الاسلام عليكم","وعليكم السلام ورحمة الله وبركاته 🙏 أهلاً بيك في Nidham. كيف أقدر أساعدك؟"
"احنا في رمضان","رمضان كريم 🌙 الله يتقبّل منا ومنكم. خدمتنا متاحة في رمضان بس ساعات العمل ممكن تتعدّل. أي سؤال خاص بـ Nidham؟"
"عايز اقابل باسم","يشرفنا 🌟 باسم متاح للمقابلات الشخصية للعملاء الجادين. ممكن نرتب:\n\n• مقابلة Zoom 30 دقيقة (مجاناً)\n• مقابلة وجهاً لوجه (لو في القاهرة/دمياط)\n\nاسمك واسم شركتك إيه؟ هرتب معاه."
"بريد باسم","إيميل باسم الرسمي: nidhamhr@proton.me\nواتساب: +20 105 535 6622\n\nبيرد شخصياً خلال ساعة في وقت العمل (السبت-الخميس 9 ص - 6 م)."
"رقم باسم","رقم WhatsApp Business بتاع Nidham: +20 105 535 6622\nأنا بكلمك من نفس الرقم. باسم بيرد شخصياً على أي رسالة محتاجة تواصل مباشر."
"عندي شكوى","أسف لو في مشكلة 🙏 خد بالي. ممكن تقولي إيه المشكلة بالظبط؟ هحاول أحلّها فوراً أو أوصلها لباسم لو محتاج تدخّل."
"النظام مش شغال","أعتذر! ممكن تقولي:\n\n1. ايه الـ error اللي بيظهر؟\n2. أنت بتدخل من Web ولا Mobile App؟\n3. تقدر تبعتلي screenshot؟\n\nهفحصها فوراً أو هوصّلها لـ technical team."
"حذف حساب","لإلغاء حسابك:\n\n1. ادخل لـ nidhamhr.com → Settings → Account → Delete Account\n2. أو ابعتلي إيميل من إيميل الحساب على nidhamhr@proton.me\n3. كل بياناتك هتتحذف خلال 30 يوم (عندك chance ترجع فيهم)\n\nقبل ما تحذف، تحب تقولي السبب؟ ممكن نحلّ أي مشكلة."
"refund","Nidham عنده ضمان 30 يوم استرداد على أي subscription. لو في خلال 30 يوم من الاشتراك مش راضي، بنرجّع فلوسك كاملة. ممكن أعرف السبب عشان نحاول نحلّ المشكلة الأول؟"
"بفلتنا 30 يوم","تمام، 30 يوم ضمان كامل ❤️ لو مش راضي خلال أول 30 يوم من الاشتراك، بنرجّع كل اللي دفعته. مفيش شروط مخفية. عايز تستخدم الضمان؟"
"عاوز فلوسي","لإسترداد المدفوعات في خلال 30 يوم من الاشتراك:\n\n1. ابعت إيميل لـ nidhamhr@proton.me\n2. اكتب اسم الحساب + سبب الإلغاء (اختياري)\n3. هنرجّع المبلغ خلال 3-5 أيام عمل\n\nقبل ما نخلّص، تقدر تقولي إيه المشكلة عشان نحاول نحلّها؟"
"مش هرد عليك تاني","تمام، أحترم قرارك 🙏 لو غيّرت رأيك في أي وقت، إحنا هنا. يوم سعيد."
"رفعني من الجروب","إحنا مش جروب، ده WhatsApp business بتاع Nidham. لو عايز توقف الرسائل، تقدر تعمل block للرقم. بس لو حابب تكمّل، أنا هنا."
"بلوك","تقدر تـ block الرقم من إعدادات WhatsApp. لو في حاجة أقدر أساعدك فيها قبل، أنا تحت أمرك 🙏"
"thanks","You are welcome! 🙏 If you need any help with Nidham, feel free to message me anytime. Have a great day!"
"thank you","Most welcome! 🌟 Feel free to reach out anytime you need anything about Nidham. We are here to help."
"hi","Hi! 👋 Welcome to Nidham — Egypt's AI-powered HR + Payroll system. How can I help you today? Are you interested in seeing a demo, knowing the pricing, or learning more about features?"
"hello","Hello! 👋 Welcome to Nidham. We are an Egyptian HR + Payroll SaaS for SMBs (10-200 employees). Trusted by 200+ employees across 2 companies. What can I help you with today?"
